Read Parameterfile _struct_CTL.dat
Shot: 204118	Time: 0.004000000ms	gFile: /root/HEAT/data/nstx_204118_opticalExample/0.004000000/g204118_0.004000000
Bounding box: Rmin = 0.01  Rmax = 2.1500001  Zmin = -2.20000005  Zmax = 2.20000005
Using g-file!
HEAT-coil (0 = off, 1 = on): 0
Currents:
0	0	0	0	0	0	
Adjustments:
0	0	0	

Field lines are calculated
MapDirection(0=both, 1=pos.phi, -1=neg.phi): -1
Start Tracer for 746 points ... 
psimin = 0.9447656390319047	Lc at psimin = 0	<dpsi/dLc> = -1.743538875106928e-13	Lc = 0.001909559498351255	steps = 1
psimin = 0.9450050291627791	Lc at psimin = 0	<dpsi/dLc> = -2.906443690691104e-13	Lc = 0.001909396211533348	steps = 1
psimin = 0.9450389551538244	Lc at psimin = 0	<dpsi/dLc> = -3.487906069920935e-13	Lc = 0.001909363467496709	steps = 1
psimin = 0.9454102379922811	Lc at psimin = 0	<dpsi/dLc> = -3.487906069920935e-13	Lc = 0.001909132311008759	steps = 1
psimin = 0.9448576461227504	Lc at psimin = 0	<dpsi/dLc> = -3.487906069920935e-13	Lc = 0.001909485493873354	steps = 1
psimin = 0.9448576436238177	Lc at psimin = 0	<dpsi/dLc> = -3.487906069920935e-13	Lc = 0.00190948547253578	steps = 1
psimin = 0.9450389591885904	Lc at psimin = 0	<dpsi/dLc> = -3.487906069920935e-13	Lc = 0.001909363501899664	steps = 1
psimin = 0.9443322407015893	Lc at psimin = 0	<dpsi/dLc> = -3.487906069920935e-13	Lc = 0.001909876431083558	steps = 1
psimin = 0.9438367681663966	Lc at psimin = 0	<dpsi/dLc> = -3.487906069920935e-13	Lc = 0.001910303767140018	steps = 1
psimin = 0.9438367710141377	Lc at psimin = 0	<dpsi/dLc> = -3.487906069920935e-13	Lc = 0.001910303791081669	steps = 1
psimin = 0.9439984318637189	Lc at psimin = 0	<dpsi/dLc> = -3.487906069920935e-13	Lc = 0.001910157371012671	steps = 1
psimin = 0.944332239468351	Lc at psimin = 0	<dpsi/dLc> = -3.487906069920935e-13	Lc = 0.001909876420634694	steps = 1
psimin = 0.9438367684770592	Lc at psimin = 0	<dpsi/dLc> = -3.487906069920935e-13	Lc = 0.001910303769751826	steps = 1
psimin = 0.9438367709105834	Lc at psimin = 0	<dpsi/dLc> = -3.487906069920935e-13	Lc = 0.001910303790211067	steps = 1
psimin = 0.9439984306242077	Lc at psimin = 0	<dpsi/dLc> = -2.325464642271436e-13	Lc = 0.001910157360564944	steps = 1
psimin = 0.9439984322252429	Lc at psimin = 0	<dpsi/dLc> = -2.325464642271436e-13	Lc = 0.001910157374059921	steps = 1
psimin = 0.9445041831194794	Lc at psimin = 0	<dpsi/dLc> = -2.325464642271436e-13	Lc = 0.001909741989999423	steps = 1
psimin = 0.9445041855797217	Lc at psimin = 0	<dpsi/dLc> = -2.325464642271436e-13	Lc = 0.001909742010898468	steps = 1
psimin = 0.9443322410612838	Lc at psimin = 0	<dpsi/dLc> = -2.325464642271436e-13	Lc = 0.001909876434131128	steps = 1
psimin = 0.9458420359850059	Lc at psimin = 0	<dpsi/dLc> = -2.325464642271436e-13	Lc = 0.001908895626828037	steps = 1
psimin = 0.9459868047860777	Lc at psimin = 0	<dpsi/dLc> = -2.325464642271436e-13	Lc = 0.001908813545629448	steps = 1
psimin = 0.9456667245401889	Lc at psimin = 0	<dpsi/dLc> = -2.325464642271436e-13	Lc = 0.001908994255243815	steps = 1
psimin = 0.9461585721008972	Lc at psimin = 0	<dpsi/dLc> = -2.325464642271436e-13	Lc = 0.001908732359537069	steps = 1
psimin = 0.9460317931445864	Lc at psimin = 0	<dpsi/dLc> = -2.325464642271436e-13	Lc = 0.001908801160263875	steps = 1
psimin = 0.946159061852913	Lc at psimin = 0	<dpsi/dLc> = -2.325464642271436e-13	Lc = 0.001908736607113306	steps = 1
psimin = 0.945987216767494	Lc at psimin = 0	<dpsi/dLc> = -2.325464642271436e-13	Lc = 0.001908817111386632	steps = 1
psimin = 0.9459870711213557	Lc at psimin = 0	<dpsi/dLc> = -3.488723030560267e-13	Lc = 0.001908815850033645	steps = 1
psimin = 0.945904747564374	Lc at psimin = 0	<dpsi/dLc> = -3.488723030560267e-13	Lc = 0.001908869281060621	steps = 1
psimin = 0.9461591747055168	Lc at psimin = 0	<dpsi/dLc> = -3.488723030560267e-13	Lc = 0.001908737585341115	steps = 1
psimin = 0.9461588847786448	Lc at psimin = 0	<dpsi/dLc> = -3.488723030560267e-13	Lc = 0.001908735071573805	steps = 1
