# X,Y,Z,HeatFlux
424.1891377767,109.0768407186,-1626.2342122396,0.0000000000
425.8202921549,102.5403391520,-1624.7506510417,0.0000000000
425.6455485026,103.2573852539,-1629.2658691406,0.0000000000
425.2813313802,104.7366383870,-1626.9407958984,0.0000000000
425.4560750326,104.0195922852,-1625.6625162760,0.0000000000
424.7351175944,106.9311319987,-1622.3992919922,0.0000000000
425.6455485026,103.2573852539,-1620.2353922526,0.0000000000
425.6344502767,103.3034388224,-1622.7657470703,0.0000000000
425.2702331543,104.7826919556,-1623.6776123047,0.0000000000
423.0646870931,113.3598429362,-1626.2342122396,0.0000000000
423.6323242188,111.2197621663,-1622.3992919922,0.0000000000
422.4862365723,115.4970245361,-1622.3992919922,0.0000000000
423.0646870931,113.3598429362,-1623.6776123047,0.0000000000
424.1891377767,109.0768407186,-1618.5643310547,0.0000000000
424.7351175944,106.9311319987,-1614.7293701172,0.0000000000
423.6323242188,111.2197621663,-1614.7293701172,0.0000000000
424.1891377767,109.0768407186,-1616.0076904297,0.0000000000
421.8969828288,117.6312535604,-1618.5643310547,0.0000000000
422.4862365723,115.4970245361,-1614.7293701172,0.0000000000
421.2969563802,119.7624766032,-1614.7293701172,0.0000000000
421.8969828288,117.6312535604,-1616.0076904297,0.0000000000
423.0646870931,113.3598429362,-1616.0076904297,0.0000000000
422.4862365723,115.4970245361,-1619.8426513672,0.0000000000
423.6323242188,111.2197621663,-1619.8426513672,0.0000000000
423.0646870931,113.3598429362,-1618.5643310547,0.0000000000
412.0787760417,148.4116923014,-1628.7755533854,0.0000000000
409.9314778646,154.2392222087,-1629.6521809896,0.0000000000
411.0622762044,151.2075195312,-1627.5983072917,0.0000000000
409.4755452474,155.4476369222,-1630.7916666667,0.0000000000
410.7789306641,151.9736633301,-1629.9853515625,0.0000000000
407.2276611328,161.2478281657,-1630.7916666667,0.0000000000
406.5474955241,162.9523213704,-1629.6521809896,0.0000000000
408.0461832682,159.1616770426,-1629.6521809896,0.0000000000
405.9130859375,164.5318349202,-1629.8175455729,0.0000000000
408.6219787598,157.6800130208,-1630.7916666667,0.0000000000
412.7537027995,146.5326334635,-1617.5450439453,0.0000000000
412.5107625326,147.2107238770,-1613.4637451172,0.0000000000
412.2331136068,147.9759165446,-1616.7062988281,0.0000000000
412.2331136068,147.9759165446,-1610.2990722656,0.0000000000
