# X,Y,Z,HeatFlux
804.1360270182,228.6250864665,-1560.9261067708,0.0000000000
805.4263509115,227.4215901693,-1560.5972086589,0.0000000000
807.3219401042,224.8569183350,-1560.2148844401,0.0000000000
803.9035237630,222.7835489909,-1561.7524820964,0.0000000000
800.3913167318,224.0709330241,-1562.8995768229,0.0000000000
802.6741129557,223.3857014974,-1562.1348063151,0.0000000000
801.0927734375,222.8489074707,-1562.7926432292,0.0000000000
782.0360310872,239.1796010335,-1567.8331705729,0.0000000000
780.1636555990,236.9025217692,-1568.8199055990,0.0000000000
779.1643880208,239.8463083903,-1568.8199055990,0.0000000000
780.4546915690,238.6428120931,-1568.4910074870,0.0000000000
778.2912801107,234.6254475911,-1569.8065999349,0.0000000000
776.4189249674,232.3483683268,-1570.7932942708,0.0000000000
775.4196370443,235.2921549479,-1570.7932942708,0.0000000000
776.7099405924,234.0886586507,-1570.4643961589,0.0000000000
776.2927449544,240.5130157471,-1569.8065999349,0.0000000000
774.4203694661,238.2359415690,-1570.7932942708,0.0000000000
773.4211018880,241.1797231038,-1570.7932942708,0.0000000000
774.7114054362,239.9762268066,-1570.4643961589,0.0000000000
775.7106730143,237.0324452718,-1570.4643961589,0.0000000000
777.5830485026,239.3095194499,-1569.4777018229,0.0000000000
778.5823160807,236.3657328288,-1569.4777018229,0.0000000000
777.2920125326,237.5692342122,-1569.8065999349,0.0000000000
774.5465901693,230.0712941488,-1571.7799886068,0.0000000000
772.6742146810,227.7942199707,-1572.7667643229,0.0000000000
772.9652506510,229.5345052083,-1572.4378255208,0.0000000000
770.8018595378,225.5171457926,-1573.7534993490,0.0000000000
768.9295247396,223.2400665283,-1574.7401936849,0.0000000000
767.9302164714,226.1838480632,-1574.7401936849,0.0000000000
769.2205403646,224.9803517660,-1574.4112955729,0.0000000000
764.7111206055,226.2652282715,-1575.9306233724,0.0000000000
771.0928751628,227.2574310303,-1573.4246012370,0.0000000000
767.6977945964,227.2790730794,-1574.6881917318,0.0000000000
771.9327596029,229.8109690348,-1572.7879638672,0.0000000000
769.2038574219,227.8700917562,-1574.0515950521,0.0000000000
770.6845092773,228.2929178874,-1573.4458007812,0.0000000000
